,sampleId,sampleGroup,SVA,Alu,HERV,PolyA,total,L1
2907,a2596300-0e71-4a72-8ba3-109cae1a59c1,LUAD,0.0,22.0,0.0,1.0,23,0.0
2908,a2dd6dc8-815c-48c4-849c-321647e90fcf,LUAD,0.0,18.0,4.0,0.0,22,0.0
2909,a3195f39-c88e-4f86-8763-725bd2e8c572,LUAD,0.0,2.0,0.0,0.0,2,0.0
2910,a3a72a59-d1b5-4d06-a8c5-65f4010fd0d4,LUAD,1.0,17.0,3.0,0.0,22,1.0
2911,a448f999-ad59-4226-8779-4f8605c342f7,LUAD,0.0,4.0,0.0,0.0,4,0.0
2912,a4d8d085-0527-410d-bfe1-ad6c8134a953,LUAD,1.0,8.0,1.0,0.0,10,0.0
2913,a504c9a3-2365-40ea-8bf9-d543be188ac1,LUAD,0.0,3.0,0.0,2.0,6,1.0
2914,a63ec3d0-6a36-42f0-a3b5-28d44893c043,LUAD,1.0,9.0,0.0,2.0,12,0.0
2915,a6e5c389-487d-4b8f-8f12-a8ab49812339,LUAD,0.0,11.0,0.0,0.0,11,0.0
2916,a75b5b63-8646-425f-b074-a228c1357b1e,LUAD,1.0,17.0,1.0,2.0,24,3.0
2917,a97c13fa-0e11-4a96-926f-e8253b5f82c9,LUAD,0.0,5.0,1.0,0.0,8,2.0
2918,ab578b4b-93a5-42ca-b22b-f42e3f587a28,LUAD,5.0,53.0,3.0,3.0,77,13.0
2919,ac3494b7-32aa-455f-a9b0-d7a91589e556,LUAD,1.0,5.0,0.0,2.0,8,0.0
2920,ac996acb-31f1-4058-b5e5-868be10fdb55,LUAD,2.0,17.0,2.0,0.0,25,4.0
2921,aca31428-2094-447b-8aa9-876117e27679,LUAD,3.0,13.0,2.0,0.0,19,1.0
2922,ad92f102-a68b-4cfe-b9c0-0d0126cbded1,LUAD,0.0,27.0,1.0,1.0,30,1.0
2923,adaf300a-5aac-4b69-b8c4-5f7ad636137c,LUAD,0.0,9.0,1.0,0.0,12,2.0
2924,adc11c1b-25ed-4a2b-bbc7-6fe73c8ab3f5,LUAD,2.0,31.0,4.0,0.0,38,1.0
2925,adef7f99-191e-419f-8546-760802382ed8,LUAD,0.0,12.0,0.0,0.0,13,1.0
2926,ae555985-33b8-46e4-a2ba-5f6e05add87e,LUAD,5.0,24.0,2.0,1.0,38,6.0
2927,afb174de-1a55-4291-86cf-31149eea106d,LUAD,1.0,27.0,7.0,1.0,40,4.0
2928,b00671d9-9143-40b5-bd17-ae03d369a42d,LUAD,0.0,44.0,1.0,1.0,53,7.0
2929,b0cd6455-bb8b-456c-8629-bdb875d37186,LUAD,0.0,3.0,0.0,0.0,3,0.0
2930,b2482cb8-624d-4f5c-86cc-90c81fa21736,LUAD,2.0,11.0,3.0,0.0,16,0.0
2931,b2fd4a95-e76a-45c8-83d2-88ca7a2f285a,LUAD,0.0,9.0,2.0,0.0,11,0.0
2932,b34b0845-826f-42a4-90b9-6e4be58c3fdc,LUAD,6.0,63.0,7.0,1.0,81,4.0
2933,b3b40c62-01fd-4e74-9f92-4ee99411c82d,LUAD,0.0,5.0,3.0,1.0,11,2.0
2934,b47801d7-7b13-4da2-af5f-1d357cb86ca7,LUAD,1.0,14.0,1.0,1.0,17,0.0
2935,b5e98cd2-35ae-49fc-a952-c1cb4b063dd5,LUAD,1.0,11.0,1.0,2.0,15,0.0
2936,b5f84275-6221-458b-96ae-9cac3f424395,LUAD,1.0,11.0,3.0,1.0,16,0.0
2937,b64f53cb-c8c0-4c57-86bb-c162a97264ca,LUAD,0.0,5.0,0.0,0.0,5,0.0
2938,b6a13f77-f7c2-48fb-9b3a-ade8069a527f,LUAD,0.0,28.0,3.0,0.0,31,0.0
2939,b71266f4-3fba-49fa-b38f-c206bbd20eaf,LUAD,0.0,17.0,1.0,0.0,18,0.0
2940,b7696b86-4a80-40bf-9b24-31eb9aed8e46,LUAD,2.0,30.0,4.0,0.0,37,1.0
2941,b7cbad6b-bc36-44fa-9360-3625696ced29,LUAD,4.0,24.0,4.0,0.0,32,0.0
2942,b7faba0a-cb1d-448e-aa09-d6e45e8c57f6,LUAD,2.0,25.0,2.0,2.0,31,0.0
2943,b8031f46-4046-4c46-a4d8-329cf827334f,LUAD,1.0,44.0,3.0,3.0,65,14.0
2944,b9f3fb69-557d-42d5-abba-ebf807e10561,LUAD,0.0,18.0,3.0,2.0,24,1.0
2945,ba440bc4-65ea-4a08-aaaf-d6a5a8d0c94e,LUAD,1.0,45.0,3.0,3.0,53,1.0
2946,ba46f312-e7f1-4b86-b625-ac6bba0065dc,LUAD,1.0,16.0,5.0,1.0,25,2.0
2947,bafa9cf9-662d-4a56-9813-7586437804cb,LUAD,0.0,14.0,6.0,1.0,21,0.0
2948,bc825454-5581-4784-a8d5-449cfbeea5e5,LUAD,1.0,20.0,2.0,1.0,29,5.0
2949,bcb17780-bff3-4e4a-8669-17777212110b,LUAD,1.0,5.0,1.0,0.0,7,0.0
2950,bd2eac4a-2325-4792-b172-7d96625a1800,LUAD,1.0,9.0,3.0,2.0,16,1.0
2951,bd9ff1d4-507c-4f73-a297-07ceafb5615a,LUAD,1.0,13.0,0.0,0.0,16,2.0
2952,be2ba5b6-5652-4daa-a29f-e4db98262008,LUAD,0.0,16.0,3.0,1.0,20,0.0
2953,bf11a66f-6c03-4723-9c56-6fe502e65e10,LUAD,0.0,13.0,4.0,0.0,17,0.0
2954,bf1d90c6-da84-4b5d-a1d9-cc90d0dc8182,LUAD,3.0,33.0,2.0,2.0,46,6.0
2955,bf6fd950-b770-4cdd-88f4-4b200ec83678,LUAD,0.0,17.0,4.0,0.0,22,1.0
2956,c0162bd0-3fa4-441d-a1cc-61863f5f4437,LUAD,0.0,5.0,0.0,1.0,6,0.0
2957,c04f92ec-da2c-4c90-9f49-ed0c1d20e426,LUAD,4.0,51.0,2.0,2.0,61,2.0
2958,c0750703-0342-49fa-901a-cb14a171837e,LUAD,0.0,31.0,5.0,1.0,40,3.0
2959,c0c54d0d-21c5-4342-a718-7168e1f7c6f2,LUAD,1.0,22.0,0.0,1.0,26,2.0
2960,c124075a-b578-4c3b-b28c-c37625390593,LUAD,0.0,23.0,3.0,0.0,27,1.0
2961,c18f5c1b-4597-4e56-ad21-bafd975fd94e,LUAD,0.0,13.0,2.0,2.0,18,1.0
2962,c1f34f74-57a2-4afa-affc-050d27f8b8b0,LUAD,3.0,40.0,3.0,0.0,54,8.0
2963,c274db16-0203-4b1b-b3e5-2fa96a613257,LUAD,0.0,20.0,2.0,3.0,35,10.0
2964,c3979f18-71ae-4ded-ba8e-3f7f023a3cb2,LUAD,0.0,35.0,2.0,1.0,41,3.0
2965,c3cfdb7c-dacd-4c59-96a5-c498f374341e,LUAD,1.0,25.0,1.0,1.0,30,2.0
2966,c49020ee-ccb5-4c6d-9f08-c557ff6c9fe4,LUAD,0.0,26.0,2.0,1.0,33,4.0
2967,c59f2f94-e27d-4c53-b26b-55a79fbfe22e,LUAD,0.0,12.0,2.0,0.0,15,1.0
2968,c5b38dd7-0f2c-4769-8ff2-d1f23a529001,LUAD,0.0,3.0,1.0,0.0,4,0.0
2969,c5da92a7-03e7-406a-ae2e-716c0a123f49,LUAD,2.0,35.0,3.0,1.0,47,6.0
2970,c5ee7b55-3b40-4306-b6e3-ed744dc602e0,LUAD,2.0,5.0,1.0,0.0,8,0.0
2971,c6111ca4-9130-4a8d-9e8c-876d66e4d7a6,LUAD,1.0,9.0,4.0,1.0,16,1.0
